h_id,X,Y,Name
1,77.2834254,28.5405965,"Indraprastha Apollo Hospital, Sarita Vihar"
2,77.1900592,28.6387828,"Sir Ganga Ram Hospital, Rajendra Nagar"
3,77.2150847,28.6669539,"St. Stephen's Hospital, Tis Hazari"
4,77.2449953,28.5136318,"Batra Hospital, Tughlakabad Inst. Area"
5,77.25237,28.5146989,"HAHC Hospital, Hamdard Nagar"
6,77.1808529,28.6437834,"BLK Hospital, Pusa Road"
7,77.309397,28.6327371,"Max SS Hospital, Patparganj"
8,77.1340666,28.6741499,"Maharaja Agrasen Hospital, Punjabi Bagh"
9,77.1114172,28.7166817,"Rajiv Gandhi Cancer Institute & RC, Rohini*"
10,77.2751835,28.5611923,"Holy Family Hospital, Okhla"
11,77.2739036,28.5606583,"Fortis Escorts Heart Institute, Okhla"
12,77.2122628,28.5276797,"Max SS Hospital, East Block, Saket"
13,77.1535464,28.7280007,"Max SS Hospital, Shalimar Bagh"
14,77.093166,28.651782,"Park Hospital, Meera Bagh"
15,77.169913,28.7095568,"Fortis SS Hospital, Shalimar Bagh"
16,77.2134284,28.5282389,"Max Smart Super Specialty Hospital, Saket"
17,77.1102673,28.6737837,"Sri Balaji Action Medical Inst., Paschim Vihar"
18,77.0374668,28.5888776,"Venkateshwar Hospital, Dwarka"
19,77.109893,28.6975156,"Jaipur Golden Hospital, Rohini"
20,77.2122628,28.5276797,"Max SS Hospital, West Block, Saket"
21,77.0782474,28.6189502,"Mata Chanan Devi Hospital, Janakpuri"
22,77.2251976,28.532988,"Pushpawati Singhania Hospital, Saket"
23,77.0529569,28.605066,"Akash Healthcare, Dwarka"
24,77.3141282,28.6025216,"Dharamshila Narayana Hosp., Vasundhra Enclave"
25,77.0696657,28.5954058,"Manipal Hospital, Dwarka"
26,77.3016707,28.6457155,"Shanti Mukand Hospital, Vikas Marg Extn."
27,77.2162999,28.670817,"Tirath Ram Shah Charitable Hospital, Civil Lines"
28,77.1432734,28.5331496,"Indian Spinal Injuries Centre, Vasant Kunj"
29,77.1609853,28.5192334,"Fortis SS Hospital, Vasant Kunj"
30,77.2949958,28.6381786,"Metro Hospital, Preet Vihar"
31,77.128706,28.7057833,"Saroj SS Hospital, Madhuban Chowk"
32,77.2245489,28.6777812,"Sant Parmanand Hospital, Civil Lines"
33,77.232954,28.5664292,"Mool Chand Khairati Ram Hospital, Lajpat Nagar"
34,77.20464,28.529288,"Madhukar Rainbow Children Hosp., Malviya Nagar"
35,77.1912334,28.6443193,"City Hospital, Pusa Road"
36,77.138551,28.6552017,"Kalra Hospital, Kirti Nagar"
37,77.1170995,28.6467218,"Kukreja Hospital, Rajouri Garden"
38,77.1812159,28.5929448,"Primus Super Specialty Hospital, Chanakyapuri"
39,77.2593703,28.5782918,"Jeewan Hospital, Gate No. 1, Jeewan Nagar"
40,77.1788333,28.5374287,"Medeor Hospital, Qutab Instl. Area"
41,77.1378556,28.7139882,"Santom Hospital, Prashant Vihar"
42,77.1399558,28.7330956,"Saroj Medical Institute, Rohini"
43,77.0492012,28.5965244,"Ayushman Hospital, Dwarka"
44,77.1885456,28.6752714,"NKS Hospital, Gulabi Bagh"
45,77.2030544,28.6416526,"Delhi Heart & Lung Institute, Pachkuian Road"
46,77.1860844,28.6436856,"Jeewan Nursing Home, Pusa Road"
47,77.1066026,28.694862,"Navjeevan Hospital, Pitampura"
48,77.0294563,28.6516239,"Rathi Hospital, Najafgarh"
49,77.0890328,28.6688955,"Action Cancer Hospital, Paschim Vihar"
50,77.127401,28.7191194,"Bhagwati Hospital, Rohini"
51,77.0790579,28.7123752,"Brahm Shakti Hospital, Budh Vihar"
52,77.0591811,28.6195437,"B.M. Gupta Hospital, Uttam Nagar"
53,77.2932494,28.6060846,"Jeevan Anmol Hospital, Mayur Vihar Phase-I"
54,77.0434386,28.5963862,"Medeor Hospital, Dwarka"
55,77.152566,28.6511792,"RLKC Metro Hospital, Naraina"
56,77.0892399,28.6580611,"Sehgal Neo Hospital, Paschim Vihar"
57,77.2854492,28.6605737,"Shri Ram Singh Hospital, Krishna Nagar"
58,77.2484946,28.5694869,"VIMHANS, Nehru Nagar"
59,77.0495311,28.7266926,"Cygnus MLS, Rama Vihar"
