m_id,Station,Line,X,Y
1,Adarsh Nagar,Yellow Line,77.1672884,28.7144008
2,AIIMS,Yellow Line,77.2078058,28.5668602
3,Akshardham,Blue Line,77.27948814,28.61784195
4,Anand Vihar ISBT,Blue Line branch,77.3180037,28.6467533
5,Arjan Garh,Yellow Line,77.1257622,28.4807352
6,Arthala,Red Line,77.3918919,28.676999
7,Ashok Park Main,Green Line,77.155291,28.6716045
8,Ashram,Pink Line,77.2585979,28.5724231
9,Azadpur,Yellow Line,77.1755473,28.7076568
10,Badarpur Border,Violet Line,77.3040379,28.4904999
11,Bahadurgarh City,Green Line,76.9354851,28.6907847
12,Barakhambha Road,Blue Line,77.2250046,28.6297676
13,Bata Chowk,Violet Line,77.313462,28.3858361
14,Bhikaji Cama Place,Pink Line,77.18701648,28.56790025
15,Botanical Garden,Blue Line,77.334332,28.5638964
16,Brigadier Hoshiyar Singh,Green Line,76.9192027,28.6974603
17,Central Secretariat,Yellow Line,77.2122822,28.6158794
18,Chandni Chowk,Yellow Line,77.2297797,28.6605039
19,Chawri Bazar,Yellow Line,77.2295008,28.6501605
20,Chhatarpur,Yellow Line,77.1750019,28.5067242
21,Chirag Delhi,Magenta Line,77.2280694,28.5381411
22,Civil Lines,Yellow Line,77.2250299,28.6768508
23,Dabri Mor-Janakpuri South,Magenta Line,77.085178,28.6157555
24,Dashrath Puri,Magenta Line,77.0823561,28.6018751
25,Delhi Aerocity,Orange Line,77.1208089,28.5487982
26,Delhi Cantonment,Pink Line,77.13497891,28.5938331
27,Delhi Gate,Violet Line,77.2407823,28.6392036
28,Dhaula Kuan,Orange Line,77.1617034,28.5918905
29,Dilshad Garden,Red Line,77.32143998,28.67588615
30,Durgabai Deshmukh South Campus,Pink Line,77.1690817,28.5894384
31,Dwarka,Blue Line,77.0442935,28.5771915
32,Dwarka Mor,Blue Line,77.0332792,28.61931
33,Dwarka Sector 8,Blue Line,77.0670366,28.5656109
34,Dwarka Sector 9,Blue Line,77.0653316,28.574272
35,Dwarka Sector 10,Blue Line,77.0574996,28.5810577
36,Dwarka Sector 11,Blue Line,77.0494375,28.5864469
37,Dwarka Sector 12,Blue Line,77.0407315,28.5922362
38,Dwarka Sector 13,Blue Line,77.0335407,28.597009
39,Dwarka Sector 14,Blue Line,77.02595656,28.60225285
40,Dwarka Sector 21,Blue Line,77.0586489,28.5518376
41,East Azad Nagar,Pink Line,77.284881,28.6646964
