s_id,X,Y,SchoolName,Address,SCH_Level
1,77.18,28.59,NP Co-Ed Primary School,"Sanjay Gandhi Camp Chanakyapuri, New Delhi 110026",Primary
2,77.20,28.64,NP Co-Ed Middle School,"Balmiki Basti, New Delhi 110001",Middle
3,77.20,28.63,NP Bengali Girls Sr. Secondary School,"Gole Market, New Delhi 110001",Senior Secondary
4,77.20,28.63,Navyug Sr. Secondary School,"Mandir Marg, New Delhi 110001",Senior Secondary
5,77.20,28.63,Kendriya Vidyalaya,Robert Square Gole Market New Delhi 110001,Senior Secondary
6,77.23,28.60,R. S. Junior Modern Public School,Humanyun Road New Delhi-110003,Primary
7,77.21,28.64,NP Nursery School,Panchkuain Road New Delhi - 110001,Nursery
8,77.21,28.63,R.M. Arya Girls No.1 Primary School,"1, Doctors' Lane, Gole Mkt. New Delhi-110001",Primary
9,77.19,28.58,NP Co-Ed Primary School No.3,"Babu Market Sarojni Nagar, New Delhi 110023",Primary
10,77.19,28.57,Navyug Sr. Secondary School,Sarojni Nagar New Delhi - 110023,Senior Secondary
11,77.20,28.57,Navyug Sr. Secondary School,"Laxmi Bai Nagar, New Delhi 110023",Senior Secondary
12,77.19,28.57,Navyug Sr. Secondary School,"Vinay Marg, New Delhi",Senior Secondary
13,77.19,28.58,NP Co-Ed Primary School No.2,"Netaji Nagar, New Delhi 110023",Primary
14,77.24,28.59,JPM Blind Sr. Sec. School,"Lal Bahadur Shastri Marg, New Delhi 110001",Senior Secondary
15,77.22,28.58,Kendriya Vidyalaya,Pragati Vihar Lodhi Road New Delhi 110003,Senior Secondary
16,77.22,28.58,NP Co-Ed Sr. Secondary School,"Lodhi Road, New Delhi 110003",Senior Secondary
17,77.18,28.59,Sanskriti School,Dr. S Radhakrishnan Marg Chanakyapuri New Delhi-110021,Senior Secondary
18,77.20,28.64,Daya Nand Model Girls Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
19,77.20,28.64,Raisina Bengali Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
20,77.20,28.64,St. Thomas Girls Senior Secondary School,Mandir Marg New Delhi-110001,Senior Secondary
21,77.20,28.63,The Elisabeth Gauba School,"Sector II , DIZ Area , Kali Bari Marg  Havlock Square New Delhi - 110001",Primary
22,77.20,28.63,Harcourt Butler Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
23,77.20,28.63,DTEA Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
24,77.22,28.62,P&T Sr. Sec. School,"Atul Grove Road, New Delhi 110001",Senior Secondary
25,77.23,28.63,Modern School,Barakhamba Road New Delhi-110001,Senior Secondary
26,77.23,28.60,Govt. Sarvodaya Kanya Vidyalaya,"Pandara Road, New Delhi 110003",Senior Secondary
27,77.23,28.61,Govt. Boys Sr. Sec. School,"Pandara Road, New Delhi 110003",Senior Secondary
28,77.23,28.60,Sardar Patel Vidyalaya,Lodi Estate New Delhi-110003,Senior Secondary
29,77.23,28.60,Shyama Prasad Vidyalaya,"17-A, Lodhi Estate, New Delhi-110003",Senior Secondary
30,77.23,28.60,NP Co-Ed Sr. Secondary School,"Lodhi Estate, New Delhi 110003",Senior Secondary
31,77.23,28.60,Delhi Kannada Sr. Sec. School,"Lodhi Estate, New Delhi 110003",Senior Secondary
32,77.20,28.59,Navy Children School,"Chanakya Puri, New Delhi-110021",Senior Secondary
33,77.21,28.63,Vidya Public School,Vidya Bhawan Bangla Sahib Road Opp Kali Mandir Connaught Place New Delhi-110001,Secondary
34,77.21,28.63,Jain Happy School,Shaheed Bhagat Singh Marg New Delhi-110001,Secondary
35,77.21,28.63,Union Academy Boys Sr. Sec. School,"Academy Lane, Raja Bazar, New Delhi-110001",Senior Secondary
36,77.21,28.63,R. M. Arya Girls Sr. Sec. School,"Raja Bazar, New Delhi 110001",Senior Secondary
37,77.21,28.64,Andh Mahavidyalya Middle School,"Punchkuian Road, New Delhi-110001",Middle
38,77.21,28.63,St. Columbas School,"Ashok Place, Opp. Gole Dak Khana, New Delhi-110001",Senior Secondary
39,77.21,28.63,Convent Of Jesus & Mary School,Bangla Sahib Marg New Delhi-110001,Senior Secondary
40,77.22,28.64,Bal Sahyog Middle School,"Connaught Circus, (Near Shankar Market) New Delhi-110001",Middle
41,77.21,28.63,Khrist Raja Girls Sec. School,"Bangla Sahib Marg, New Delhi 110001",Secondary
42,77.19,28.58,NP Nursery School,Netaji Nagar New Delhi - 110023,Nursery
43,77.18,28.57,NP Co-Ed Middle School,"Netaji Nagar, New Delhi 110023",Middle
44,77.20,28.58,Mukherjee Public School,Sarojini Nagar New Delhi-110023,Primary
45,77.18,28.58,NP Co-Ed Sr. Secondary School,"Moti Bagh, New Delhi 110021",Senior Secondary
46,77.24,28.57,Lady Irwin Sr. Sec. School,"Canning Road, New Delhi 110001",Senior Secondary
47,77.24,28.60,NP Co-Ed Primary School,"Kaka Nagar, New Delhi 110003",Primary
48,77.22,28.59,Navyug Primary School,"Jor Bagh, New Delhi 110003",Primary
49,77.20,28.64,NP Boys Sr. Secondary School,"Mandir Marg, New Delhi 110001",Senior Secondary
50,77.20,28.63,NP Girls Sr. Secondary School,"Gole Market, New Delhi 110001",Senior Secondary
51,77.20,28.63,NP Co-Ed Sr. Secondary School,"Havlock Square, New Delhi",Senior Secondary
52,77.21,28.63,NP Co-Ed Primary School,Hanuman Lane New Delhi - 110001,Primary
53,77.23,28.63,NP Co-Ed Middle School,"Babar Road, New Delhi 110001",Middle
54,77.23,28.63,NP Co-Ed Primary School No.3,"Babar Road, New Delhi 110001",Primary
