S.no,property,location,carpet_area_sqft,Price,Rate_per_sqft,status,floor,transaction,facing,overlooking,ownership,parking,city,bedroom,X,Y,nearest_metro_1,nearest_metro_2,nearest_school_1,nearest_school_2,nearest_school_3,nearest_hospital_1,nearest_hospital_2,nearest_hospital_3,distance_nearest_metro_km,distance_nearest_hospital_km,distance_nearest_school_km
1,Parnami Infra, Vasant Vihar,3000.0,85000000,21250,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",Delhi,4,77.1362483,28.566437,190,25,4267,4278,4092,28,83,40,1.068414585721547,3.77628954364904,0.9957647964798272
2,Dolphin Real Estates, Sushant Lok-I,1500.0,26500000,9815,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,Gurgaon,4,77.076724,28.464228,59,60,831,818,5547,128,28,29,0.7055608947183238,9.91042580994105,4.846174270428819
3,The Unique Realty, DLF City Phase 2,1296.0,29500000,15245,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",Gurgaon,3,77.0846097,28.483901,135,136,831,818,4251,28,128,29,0.33864405615898346,8.14566457686228,4.039526443959037
4,Iconic Realty, Rohini Sector 24,1100.0,12100000,10083,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",Delhi,3,77.122822,28.732753,172,176,4985,4984,5184,80,50,42,1.9876470141526223,1.596403412235594,0.43760886697201584
5,Synergy Real Estates, Rohini Sector 8,750.0,25000000,31250,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,Delhi,3,77.122822,28.732753,172,176,4985,4984,5184,80,50,42,1.9876470141526223,1.596403412235594,0.43760886697201584
6,Essbee Realtors, CRC Joyous,991.0,12700000,8063,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,Noida,3,77.060314,28.415772,59,60,743,506,831,128,29,28,5.0266891937632465,14.975925173987656,8.951236133639684
7,Investors Home, Godrej Nature Plus,1100.0,13500000,8671,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",Gurgaon,3,77.695385,12.923102,96,162,741,742,511,4,5,29,555.0605414653824,1731.2707765954674,1722.0406661418103
8,Temple Homes Pvt. Ltd., Luxury Builder Floors,2200.0,35000000,12963,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4 Covered,Gurgaon,4,76.038761,11.542692,96,162,167,741,742,4,29,5,727.0320354873099,1888.508818158315,1878.7667258718407
9,Shanti Property, Experion Windchants,3200.0,87500000,10276,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,"3 Covered,",Gurgaon,5,77.015669,28.517747,182,40,2071,2070,1898,128,109,18,3.5841572283304886,5.587988583314342,2.8602129913653034
10,Makaan Search Realty, DLF City Plot Phase 1,2700.0,54900000,15250,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2 Covered,Gurgaon,4,77.102974,28.491651,53,197,818,831,4250,28,29,128,1.0717725595068497,6.420921088505945,2.7784842715260836
